id,room,building_name,address,city,province,postal_code,created_at,updated_at
945,,McMaster Innovation Park,175 Longwood Road South,Hamilton,ON,,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
946,,,,,,,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
947,,University of Waterloo,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
948,Room 352,PHY - Physics,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
949,Room 241,EV1 - Environment 1,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
950,Room 1304,DC - William G. Davis Computer Research Centre,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
951,,,,,,,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
952,Room 3142,EIT - Centre for Environmental and Information Technology,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
953,2218,TC - William M. Tatham Centre for Co-operative Education and Career Action (CECA),200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
954,1301,DC - William G. Davis Computer Research Centre,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
955,Room 241,EV1 - Environment 1,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
956,EC2-111,E2 - Engineering 2,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
957,,,,,,,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
958,Room 3142,EIT - Centre for Environmental and Information Technology,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
959,Room 3145,EIT building,,,,,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
960,Sun Life Financial Auditorium, LHS 1621,LHI - Lyle S. Hallman Institute for Health Promotion,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
961,2218,TC - William M. Tatham Centre for Co-operative Education and Career Action (CECA),200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
962,Multipurpose Room,SLC - Student Life Centre,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
963,Main Hall,FED - Federation Hall,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
964,TransCanada Corp. LiveLink Facility, Room 3102,E5 - Engineering 5,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
965,MC 1078,MC - Mathematics & Computer Building,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
966,3052,E5 - Engineering 5,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
967,,,,,,,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
968,Cafeteria,REN - Renison University College,240 Westmount Road North,Waterloo,ON,N2L 3G4,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
969,1301,DC - William G. Davis Computer Research Centre,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
970,Room 241,EV1 - Environment 1,200 University Ave West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
971,Room 3145,EIT building,,,,,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
972,,,,,,,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
973,3142,EIT - Centre for Environmental and Information Technology,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
974,2218,TC - William M. Tatham Centre for Co-operative Education and Career Action (CECA),200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
975,3102 - TransCanada Corp. LiveLink Facility,E5 - Engineering 5,200 University Avenue West,Waterloo,ON,N2L 3G1,2015-05-11 17:02:01.982174,2015-05-11 17:02:01.982174
